source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,01-May,exam,The main aim of interdiction is to:,Punish permanently,Allow investigation,Force resignation,Reduce staff,B,Interdiction enables fair investigation.,psr
PSR 2021,01-May,exam,Probation helps determine an officer’s:,Suitability for service,Retirement age,Salary grade,Political loyalty,A,Probation evaluates competence and character.,psr
PSR 2021,01-May,exam,Public Service Rules apply to:,Civil servants only,All citizens,Private contractors,Military officers,A,PSR governs civil/public servants.,psr
PSR 2021,01-May,exam,A permanent appointment is granted after:,Training seminar,Confirmation,First salary,Department posting,B,Permanent status follows confirmation.,psr
PSR 2021,01-May,exam,Suspension is normally used during:,Investigation of misconduct,Annual leave,Promotion process,Recruitment,A,Suspension occurs during disciplinary cases.,psr
PSR 2021,01-May,exam,An established officer occupies a:,Budgeted permanent post,Temporary contract role,Volunteer slot,Consultancy,A,Established posts are permanent and funded.,psr
PSR 2021,01-May,exam,Junior officers are below:,GL 07,GL 08,GL 09,GL 10,A,Junior officers are GL 06 and below; below GL 07 threshold.,psr
PSR 2021,01-May,exam,The Permanent Secretary manages:,Administrative operations,Political campaigns,Foreign affairs,Private contracts,A,They oversee ministry administration.,psr
PSR 2021,01-May,exam,An officer may be terminated during:,Probation period,Annual appraisal,Transfer request,Retirement,A,Unsatisfactory probation may lead to termination.,psr
PSR 2021,01-May,exam,The PSR primarily ensures:,Uniform service standards,Political neutrality,International trade,Judicial reform,A,PSR standardizes civil service conduct.,psr
PSR 2021,01-May,exam,Confirmation is evidence of:,Successful probation,Promotion eligibility,Retirement readiness,Disciplinary action,A,It confirms suitability after probation.,psr
PSR 2021,01-May,exam,Suspension removes:,Pay and duty,Rank only,Office space,Training access,A,Suspension removes salary and duty rights.,psr
PSR 2021,01-May,exam,Interdiction is a:,Temporary administrative action,Permanent dismissal,Promotion procedure,Training stage,A,It is temporary pending investigation.,psr
PSR 2021,01-May,exam,Established posts guarantee:,Budget funding,Automatic promotion,Foreign posting,Pension exemption,A,They are funded in the personnel budget.,psr
PSR 2021,01-May,exam,Probation evaluates:,Performance and conduct,Family background,Political views,External income,A,Suitability depends on performance and behavior.,psr
PSR 2021,01-May,exam,Senior officers belong to:,GL 07 and above,GL 05 and below,GL 03 only,Temporary grade,A,Senior officers start from GL 07.,psr
PSR 2021,01-May,exam,The PSR governs:,Employment procedures,International law,Private contracts,Military service,A,It regulates civil employment systems.,psr
PSR 2021,01-May,exam,A confirmed officer is considered:,Permanent staff,Temporary worker,Consultant,Volunteer,A,Confirmation grants permanent status.,psr
PSR 2021,01-May,exam,An officer who passes probation becomes:,Confirmed,Transferred,Suspended,Retired,A,Successful probation leads to confirmation.,psr
PSR 2021,01-May,exam,Interdiction occurs mainly during:,Disciplinary investigation,Annual leave,Promotion exercise,Recruitment,A,It supports investigation of misconduct.,psr
PSR 2021,01-May,exam,Suspension implies removal from:,Duty and salary,Duty only,Salary only,Office building,A,Suspension removes both pay and duty.,psr
PSR 2021,01-May,exam,The purpose of confirmation is to:,Establish permanence,Reduce salary,Delay promotion,Transfer staff,A,Confirmation grants permanent status.,psr
PSR 2021,01-May,exam,An established post is funded by:,Personnel budget,Private funds,External grants,Loans,A,Established posts are funded through personnel emoluments.,psr
PSR 2021,01-May,exam,Probation is required for:,New recruits only,All officers yearly,Retired officers,Transferred staff,A,Only newly recruited officers serve probation.,psr
PSR 2021,01-May,exam,Senior officers begin from:,Grade Level 07,Grade Level 05,Grade Level 04,Grade Level 02,A,GL 07 marks senior officer entry.,psr
PSR 2021,01-May,exam,The Permanent Secretary supervises:,Ministry administration,Private agencies,Local councils,Political parties,A,They oversee ministry administration.,psr
PSR 2021,01-May,exam,Interdicted officers receive:,Half salary,Full salary,No salary,Bonus pay,A,Interdiction pays half salary.,psr
PSR 2021,01-May,exam,Suspension differs from interdiction because it:,Stops salary completely,Allows promotion,Grants leave,Transfers officer,A,Suspension removes pay entirely.,psr
PSR 2021,01-May,exam,The PSR applies to:,Federal public servants only,Private sector,Military personnel,Foreign workers,A,It governs federal public service.,psr
PSR 2021,01-May,exam,A probationary officer may be:,Confirmed or dismissed,Automatically promoted,Transferred abroad,Given bonus,A,Unsatisfactory probation leads to dismissal.,psr
PSR 2021,01-May,exam,Established posts ensure:,Permanent employment structure,Temporary contracts,Volunteer services,Consultancy,A,They support permanent workforce.,psr
PSR 2021,01-May,exam,Confirmation follows:,Successful probation,Promotion interview,Annual review,Training seminar,A,Confirmation is tied to probation success.,psr
PSR 2021,01-May,exam,Junior officers fall below:,Grade Level 07,Grade Level 08,Grade Level 09,Grade Level 10,A,Junior officers are GL 06 and below.,psr
PSR 2021,01-May,exam,Probation assesses:,Fitness for service,Political loyalty,External influence,Family ties,A,It measures suitability and performance.,psr
PSR 2021,01-May,exam,Interdiction protects the:,Integrity of service,Officer salary,Public holidays,Training schedule,A,It safeguards institutional integrity.,psr
PSR 2021,01-May,exam,Suspension is considered a:,Temporary disciplinary action,Permanent dismissal,Promotion stage,Reward system,A,Suspension is temporary disciplinary measure.,psr
PSR 2021,01-May,exam,A confirmed officer enjoys:,Permanent appointment,Temporary status,Consultancy role,Probation extension,A,Confirmation grants permanent status.,psr
PSR 2021,01-May,exam,The PSR ensures:,Uniform rules in service,Private sector control,International trade,Military reform,A,PSR standardizes public service operations.,psr
